Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,Tract_1,f10yr,f20yr,f50yr,f100yr,f200yr,f500yr,f1000yr
37119005306,37119,NC1,005306,3.3864577,38.9716454,31,35.262763999999997,-80.777518999999998,1254,37119005306,36.5999985,47.7999992,62.5999985,71.0999985,78.8000031,88.6999969,95.0000000
37119005307,37119,NC1,005307,1.1511263,26.2692566,25,35.281548000000001,-80.775525000000002,1491,37119005307,36.4000015,47.5999985,62.5000000,70.8000031,78.6999969,88.5000000,94.8000031
37119005403,37119,NC1,005403,6.1655297,68.4315720,48,35.300296000000003,-80.822226999999998,1445,37119005403,36.0000000,47.2000008,62.0999985,70.5000000,78.3000031,88.0000000,94.3000031
37119005516,37119,NC1,005516,1.2254788,17.8247089,14,35.384383000000000,-80.766734999999997,1548,37119005516,35.7999992,47.0000000,61.7999992,70.0999985,78.1999969,87.3000031,94.0999985
37119005517,37119,NC1,005517,2.9419494,47.0666809,34,35.381886000000002,-80.774852999999993,1372,37119005517,35.7000008,46.9000015,61.7999992,70.0999985,78.3000031,87.5000000,93.8000031
37119005518,37119,NC1,005518,7.9547009,87.1984940,29,35.363495000000000,-80.773269999999997,1169,37119005518,35.9000015,47.0999985,62.0000000,70.3000031,78.4000015,87.5000000,94.0999985
37119005519,37119,NC1,005519,6.2352777,60.2216415,43,35.366114000000003,-80.742251999999993,1371,37119005519,36.0999985,47.2999992,62.0000000,70.4000015,78.5000000,87.5999985,94.5999985
37119005522,37119,NC1,005522,2.2576785,40.0710907,38,35.320751000000001,-80.786961000000005,1612,37119005522,36.0999985,47.2999992,62.0999985,70.4000015,78.3000031,87.9000015,94.3000031
37119005524,37119,NC1,005524,14.5076523,159.5382843,106,35.301932000000001,-80.777043000000006,1191,37119005524,36.2999992,47.5000000,62.2999992,70.6999969,78.5000000,88.0000000,94.5000000
37119005609,37119,NC1,005609,3.2575181,43.8257980,19,35.319620999999998,-80.722273000000001,1468,37119005609,36.5000000,47.7000008,62.4000015,70.9000015,78.9000015,88.4000015,95.3000031
37119005610,37119,NC1,005610,2.3784554,33.7013245,36,35.321513000000003,-80.706695999999994,1285,37119005610,36.5999985,47.7000008,62.4000015,70.9000015,78.9000015,88.5000000,95.5000000
37119005613,37119,NC1,005613,5.7241592,68.3962708,36,35.280197000000001,-80.720524999999995,1007,37119005613,36.9000015,48.0000000,62.7000008,71.1999969,79.0999985,89.0000000,95.8000031
37119005616,37119,NC1,005616,7.7237520,50.7287407,29,35.264279000000002,-80.707991000000007,1208,37119005616,37.0999985,48.2000008,62.7999992,71.4000015,79.3000031,89.4000015,95.8000031
37119005618,37119,NC1,005618,6.6854711,63.3873405,34,35.267009000000002,-80.686119000000005,1676,37119005618,37.2000008,48.2999992,62.9000015,71.5000000,79.4000015,89.3000031,96.4000015
37119005619,37119,NC1,005619,5.7710047,65.1557541,49,35.251721000000003,-80.669353000000001,1042,37119005619,37.4000015,48.5000000,63.0999985,71.8000031,79.6999969,89.6999969,96.5999985
37119005620,37119,NC1,005620,14.4439859,125.7847290,100,35.226421000000002,-80.675573000000000,1114,37119005620,37.5999985,48.7000008,63.2999992,72.0000000,80.0000000,89.8000031,96.6999969
37119005621,37119,NC1,005621,13.3174839,93.1637955,43,35.243211000000002,-80.635558000000003,1337,37119005621,37.7000008,48.7000008,63.2999992,72.0999985,80.0000000,90.0999985,96.9000015
37119005706,37119,NC1,005706,16.3768444,151.2113953,63,35.198852000000002,-80.659723999999997,1178,37119005706,37.9000015,49.0000000,63.5999985,72.3000031,80.4000015,90.1999969,97.0999985
37119005712,37119,NC1,005712,7.6823268,99.7089233,46,35.121752000000001,-80.678337999999997,1467,37119005712,38.4000015,49.4000015,64.0000000,73.0000000,80.8000031,91.0999985,98.0999985
37119005713,37119,NC1,005713,13.7384520,125.4130020,57,35.150302000000003,-80.657799999999995,1263,37119005713,38.2999992,49.2999992,63.9000015,72.9000015,80.8000031,91.0000000,97.5999985
37119005815,37119,NC1,005815,5.4993544,48.6395531,27,35.087221000000000,-80.797916999999998,1417,37119005815,37.7999992,48.9000015,63.5999985,72.3000031,79.6999969,90.4000015,98.1999969
